loci,loci_ampl_rate_Total,loci_ampl_rate_Municipality.2,loci_ampl_rate_Municipality.1,loci_ampl_rate_Municipality.3,loci_ampl_rate_Municipality.4,loci_ampl_rate_Municipality.5
PF3D7_1233600,0.833076923076923,0.80672268907563,0.830122591943958,0.885135135135135,0.944444444444444,0.241379310344828
PF3D7_1239800_1,0.852307692307692,0.810924369747899,0.844133099824869,0.925675675675676,0.944444444444444,0.172413793103448
PF3D7_1246500,0.841538461538462,0.865546218487395,0.863397548161121,0.835585585585586,0.944444444444444,0.241379310344828
PF3D7_1250100,0.733076923076923,0.651260504201681,0.739054290718039,0.810810810810811,0.833333333333333,0.0344827586206896
PF3D7_1250400,0.693076923076923,0.718487394957983,0.74430823117338,0.648648648648649,0.833333333333333,0.0689655172413793
PF3D7_1252100,0.905384615384615,0.865546218487395,0.900175131348511,0.963963963963964,0.944444444444444,0.413793103448276
PF3D7_1302700,0.866153846153846,0.857142857142857,0.858143607705779,0.927927927927928,0.888888888888889,0.137931034482759
PF3D7_1302900,0.919230769230769,0.88655462184874,0.919439579684764,0.963963963963964,0.944444444444444,0.482758620689655
MAL13P1.50,0.862307692307692,0.861344537815126,0.852889667250438,0.905405405405405,0.944444444444444,0.344827586206897
PF13_0125,0.936153846153846,0.903361344537815,0.938704028021016,0.972972972972973,0.944444444444444,0.586206896551724
PF3D7_1329100,0.883076923076923,0.848739495798319,0.882661996497373,0.936936936936937,0.944444444444444,0.310344827586207
PF3D7_1332900,0.675384615384615,0.65546218487395,0.735551663747811,0.63963963963964,0.944444444444444,0.0344827586206896
MSRP4,0.933076923076923,0.903361344537815,0.935201401050788,0.970720720720721,0.944444444444444,0.551724137931034
MSRP3,0.859230769230769,0.861344537815126,0.859894921190893,0.903153153153153,0.944444444444444,0.103448275862069
PfTRAP_1,0.928461538461538,0.890756302521008,0.926444833625219,0.975225225225225,0.944444444444444,0.551724137931034
PF3D7_1340400,0.900769230769231,0.878151260504202,0.898423817863398,0.95045045045045,0.944444444444444,0.344827586206897
PfKelch13C580Y,0.889230769230769,0.852941176470588,0.882661996497373,0.952702702702703,0.944444444444444,0.310344827586207
PF3D7_1346400,0.84,0.815126050420168,0.833625218914186,0.903153153153153,0.944444444444444,0.137931034482759
PF3D7_1352900,0.861538461538462,0.84453781512605,0.856392294220666,0.923423423423423,0.944444444444444,0.103448275862069
PF3D7_1353100,0.896153846153846,0.861344537815126,0.887915936952715,0.957207207207207,0.944444444444444,0.379310344827586
PF3D7_1354200,0.866153846153846,0.84453781512605,0.868651488616462,0.907657657657658,0.944444444444444,0.310344827586207
PF3D7_1407800,0.887692307692308,0.865546218487395,0.889667250437828,0.932432432432432,0.944444444444444,0.310344827586207
PF3D7_1407900,0.836923076923077,0.815126050420168,0.833625218914186,0.894144144144144,0.944444444444444,0.137931034482759
PF3D7_1408000,0.901538461538462,0.865546218487395,0.907180385288967,0.945945945945946,0.944444444444444,0.379310344827586
PF3D7_1408100_1,0.931538461538462,0.88655462184874,0.943957968476357,0.966216216216216,0.944444444444444,0.517241379310345
PF3D7_1409700,0.783076923076923,0.773109243697479,0.833625218914186,0.763513513513513,0.888888888888889,0.103448275862069
PF3D7_1410300,0.869230769230769,0.848739495798319,0.861646234676007,0.934684684684685,0.944444444444444,0.137931034482759
PF3D7_1418100,0.907692307692308,0.873949579831933,0.905429071803853,0.961711711711712,0.944444444444444,0.379310344827586
Pf113,0.883846153846154,0.865546218487395,0.87215411558669,0.948198198198198,0.944444444444444,0.241379310344828
PF3D7_1429500,0.92,0.88655462184874,0.921190893169877,0.968468468468468,0.944444444444444,0.413793103448276
PF3D7_1429800,0.881538461538461,0.848739495798319,0.877408056042032,0.936936936936937,0.944444444444444,0.344827586206897
PF3D7_1447900,0.818461538461538,0.789915966386555,0.828371278458844,0.86036036036036,0.888888888888889,0.172413793103448
PF3D7_1448500,0.910769230769231,0.873949579831933,0.907180385288967,0.966216216216216,0.944444444444444,0.413793103448276
GEST,0.898461538461538,0.865546218487395,0.896672504378284,0.95045045045045,0.944444444444444,0.379310344827586
PF3D7_1455300,0.933076923076923,0.890756302521008,0.935201401050788,0.977477477477477,0.944444444444444,0.551724137931034
PF3D7_1464700,0.865384615384615,0.84453781512605,0.854640980735552,0.925675675675676,0.944444444444444,0.275862068965517
PF3D7_1466800,0.855384615384615,0.831932773109244,0.84938704028021,0.916666666666667,0.888888888888889,0.206896551724138
PF3D7_1469600,0.83,0.819327731092437,0.844133099824869,0.853603603603604,0.944444444444444,0.206896551724138
PF3D7_1472300,0.87,0.865546218487395,0.900175131348511,0.855855855855856,0.944444444444444,0.482758620689655
PF3D7_1473700,0.922307692307692,0.88235294117647,0.91768826619965,0.970720720720721,0.944444444444444,0.586206896551724
PF3D7_1475900,0.85,0.827731092436975,0.854640980735552,0.898648648648649,0.944444444444444,0.137931034482759
